rho_usd_per_decision,c_fixed_usd_per_year,n_star_decisions_per_year
0.03071428571428572,28000.0,911627.9069767441
0.03071428571428572,29000.0,944186.0465116277
0.03071428571428572,30000.0,976744.1860465115
0.03071428571428572,31000.0,1009302.3255813952
0.03071428571428572,32000.0,1041860.465116279
0.03071428571428572,33000.0,1074418.6046511626
0.03071428571428572,34000.0,1106976.7441860463
0.03071428571428572,35000.0,1139534.8837209302
0.03071428571428572,36000.0,1172093.0232558139
0.03071428571428572,37000.0,1204651.1627906975
0.03071428571428572,38000.0,1237209.3023255812
0.03071428571428572,39000.0,1269767.4418604649
0.03071428571428572,40000.0,1302325.5813953488
0.03071428571428572,41000.0,1334883.7209302324
0.03071428571428572,42000.0,1367441.860465116
0.03071428571428572,43000.0,1399999.9999999998
0.03071428571428572,44000.0,1432558.1395348834
0.03071428571428572,45000.0,1465116.2790697673
0.03071428571428572,46000.0,1497674.418604651
0.03071428571428572,47000.0,1530232.5581395347
0.03071428571428572,48000.0,1562790.6976744183
0.03071428571428572,49000.0,1595348.8372093022
0.03071428571428572,50000.0,1627906.976744186
0.03163265306122449,1000.0,31612.903225806454
0.03163265306122449,2000.0,63225.80645161291
0.03163265306122449,3000.0,94838.70967741936
0.03163265306122449,4000.0,126451.61290322582
0.03163265306122449,5000.0,158064.51612903227
0.03163265306122449,6000.0,189677.41935483873
0.03163265306122449,7000.0,221290.32258064518
0.03163265306122449,8000.0,252903.22580645164
0.03163265306122449,9000.0,284516.12903225806
0.03163265306122449,10000.0,316129.03225806454
0.03163265306122449,11000.0,347741.93548387097
0.03163265306122449,12000.0,379354.83870967745
0.03163265306122449,13000.0,410967.7419354839
0.03163265306122449,14000.0,442580.64516129036
0.03163265306122449,15000.0,474193.5483870968
0.03163265306122449,16000.0,505806.45161290327
0.03163265306122449,17000.0,537419.3548387097
0.03163265306122449,18000.0,569032.2580645161
0.03163265306122449,19000.0,600645.1612903227
0.03163265306122449,20000.0,632258.0645161291
0.03163265306122449,21000.0,663870.9677419355
0.03163265306122449,22000.0,695483.8709677419
0.03163265306122449,23000.0,727096.7741935485
0.03163265306122449,24000.0,758709.6774193549
0.03163265306122449,25000.0,790322.5806451613
0.03163265306122449,26000.0,821935.4838709678
0.03163265306122449,27000.0,853548.3870967743
0.03163265306122449,28000.0,885161.2903225807
0.03163265306122449,29000.0,916774.1935483871
0.03163265306122449,30000.0,948387.0967741936
0.03163265306122449,31000.0,980000.0000000001
