trial,mode,threads,payload_bytes,iters_per_thread,wall_ms,throughput_ops_s,p50_ns,p95_ns,p99_ns,p99_max_ns,mean_ns
3,full_pipeline,2,4096,1000000,8810.76,226995,7825,12165,25142,25569,8240.96
3,full_pipeline,4,4096,1000000,8839.79,452500,7818,11036,24500,27264,8221.75
4,full_pipeline,1,4096,1000000,8678.53,115227,7807,11533,22222,22222,8155.17
4,full_pipeline,2,4096,1000000,8937.34,223780,7875,12115,25511,26313,8343.16
4,full_pipeline,4,4096,1000000,8799.99,454546,7823,10841,24171,25939,8236.99
0,full_pipeline_durable,1,4096,14175,4903.45,2891,292154,460289,564586,564586,329051.24
0,full_pipeline_durable,2,4096,14175,10020.69,2829,298066,1728049,10929661,11051035,648166.54
0,full_pipeline_durable,4,4096,14175,19308.65,2937,291151,4604393,28579247,33644059,1187210.99
1,full_pipeline_durable,1,4096,14175,4314.24,3286,242726,372949,511552,511552,288891.72
1,full_pipeline_durable,2,4096,14175,10137.41,2797,310197,2380950,11304837,12194779,671839.24
1,full_pipeline_durable,4,4096,14175,19405.92,2922,291847,12216207,30933457,48198133,1144709.89
2,full_pipeline_durable,1,4096,14175,4522.61,3134,261443,422766,506353,506353,304033.32
2,full_pipeline_durable,2,4096,14175,9610.36,2950,295098,1894467,10148024,10619463,641545.36
2,full_pipeline_durable,4,4096,14175,18862.04,3006,294354,4865513,25840797,27690658,1164469.37
3,full_pipeline_durable,1,4096,14175,4479.65,3164,255659,403727,503511,503511,300384.81
3,full_pipeline_durable,2,4096,14175,9805.32,2891,301152,2357548,10531331,10569599,645283.39
3,full_pipeline_durable,4,4096,14175,19348.41,2930,291089,5034471,28000834,31257242,1212062.22
4,full_pipeline_durable,1,4096,14175,4774.61,2969,286377,449071,581216,581216,320955.29
4,full_pipeline_durable,2,4096,14175,9949.08,2850,305991,1232125,11071920,11247932,633529.53
4,full_pipeline_durable,4,4096,14175,20786.30,2728,352070,8734527,20581896,24660649,1260394.75
0,verdict_only,1,4096,1023154,8912.69,114797,4670,5998,8425,8425,4894.87
0,verdict_only,2,4096,1023154,8975.50,227988,4682,6257,8688,8740,4937.41
0,verdict_only,4,4096,1023154,9042.94,452576,4680,7102,8606,8723,4953.49
1,verdict_only,1,4096,1023154,8919.45,114710,4686,7677,8559,8559,4908.48
1,verdict_only,2,4096,1023154,9053.36,226027,4689,5936,8740,8781,4960.58
1,verdict_only,4,4096,1023154,9008.25,454319,4690,6797,8660,8792,4924.59
2,verdict_only,1,4096,1023154,8926.03,114626,4687,5086,8570,8570,4908.83
2,verdict_only,2,4096,1023154,9032.50,226550,4682,5484,8564,8640,4948.01
2,verdict_only,4,4096,1023154,9046.22,452411,4684,6735,8759,9424,4951.02
3,verdict_only,1,4096,1023154,8964.57,114133,4687,5308,8651,8651,4937.82
3,verdict_only,2,4096,1023154,9087.87,225169,4693,8246,9115,9502,4997.65
3,verdict_only,4,4096,1023154,9075.31,450962,4697,7118,8673,8900,4958.32
4,verdict_only,1,4096,1023154,8904.25,114906,4681,5095,8550,8550,4898.87
4,verdict_only,2,4096,1023154,8912.69,229595,4676,5134,8513,8517,4900.06
4,verdict_only,4,4096,1023154,9040.97,452675,4684,6201,8886,9290,4922.51
0,status_quo_async_log,1,4096,1000000,26043.62,38397,23677,27728,46040,46040,24651.46
0,status_quo_async_log,2,4096,1000000,26326.77,75968,23610,37725,47490,48306,24925.39
0,status_quo_async_log,4,4096,1000000,26381.83,151619,23627,33587,50207,58356,24830.86
1,status_quo_async_log,1,4096,1000000,26098.02,38317,23614,32308,47485,47485,24748.08
1,status_quo_async_log,2,4096,1000000,26398.44,75762,23660,33599,46903,47563,24876.56
1,status_quo_async_log,4,4096,1000000,26763.72,149456,23627,42042,50993,57079,25136.49
2,status_quo_async_log,1,4096,1000000,25898.96,38612,23606,26988,45821,45821,24524.41
2,status_quo_async_log,2,4096,1000000,26032.03,76828,23613,34022,44369,46126,24585.26
2,status_quo_async_log,4,4096,1000000,26368.20,151698,23619,36365,47109,48991,24753.83
3,status_quo_async_log,1,4096,1000000,26017.52,38436,23603,30056,47226,47226,24680.96
3,status_quo_async_log,2,4096,1000000,25970.52,77010,23605,28984,45612,46696,24627.78
3,status_quo_async_log,4,4096,1000000,26629.60,150209,23637,37002,49134,52107,25053.23
4,status_quo_async_log,1,4096,1000000,25860.24,38669,23598,27538,45455,45455,24522.90
4,status_quo_async_log,2,4096,1000000,26105.20,76613,23610,35944,45129,45890,24736.64
4,status_quo_async_log,4,4096,1000000,26462.66,151156,23627,33422,49515,52109,24854.06
0,status_quo_digest_log,1,4096,2768529,5370.51,515505,1670,2361,1972,1972,1745.74
0,status_quo_digest_log,2,4096,2768529,5590.70,990406,1709,2637,2482,2547,1815.79
0,status_quo_digest_log,4,4096,2768529,5522.72,2005194,1688,2137,2380,2566,1773.35
1,status_quo_digest_log,1,4096,2768529,5454.28,507589,1670,2322,2442,2442,1772.94
1,status_quo_digest_log,2,4096,2768529,5508.49,1005187,1688,2367,2289,2419,1774.14
1,status_quo_digest_log,4,4096,2768529,5591.57,1980501,1691,2305,2533,2928,1790.79
2,status_quo_digest_log,1,4096,2768529,5437.01,509200,1681,2355,2282,2282,1766.65
2,status_quo_digest_log,2,4096,2768529,5498.02,1007101,1688,2186,2353,2411,1767.85
2,status_quo_digest_log,4,4096,2768529,5713.20,1938337,1689,2269,4579,5006,1798.69
3,status_quo_digest_log,1,4096,2768529,5528.84,500744,1712,2494,2868,2868,1796.34
3,status_quo_digest_log,2,4096,2768529,5442.11,1017446,1685,1994,2227,2373,1759.46
3,status_quo_digest_log,4,4096,2768529,5505.71,2011389,1692,2352,2476,2614,1773.17
4,status_quo_digest_log,1,4096,2768529,5459.01,507148,1708,1832,2264,2264,1776.08
4,status_quo_digest_log,2,4096,2768529,5544.39,998677,1694,2004,2198,2418,1764.10
4,status_quo_digest_log,4,4096,2768529,5492.36,2016278,1680,2085,2254,2500,1755.25
